Gebirge	Gruppe	Typ	Name	BGrad	BMinuten	BSekunden	LGrad	LMinuten	LSekunden	Höhe				
Walliser	Monte Rosa	Berg	Signalkuppe	45	55	38	7	52	37	4554				
Walliser	Allalin	Hütte	Täschhütte	46	3	5,5	7	49	48	2701				
Walliser	Weißhorn	Hütte	Topalihütte	46,1569901			7,7620554			2670				
Walliser	Weißhorn	Hütte	Turtmannhütte	46,1600705			7,6994688			2517				
Walliser	Mischabel	Berg	Ulrichshorn	46	7	4	7	52	36	3925				
Walliser	Monte Rosa	Talort	Zermatt Bahnhof	46	1	26,14	7	44	54,95	1605				
Walliser	Walliser	Talort	Zermatt Talstation	46	0	53	7	44	34	1638				
Zillertaler	Zillertaler	Hütte	Edelrauthütte	46,9470299			11,7391149			2545				
Zillertaler	Zillertaler	Berg	Hochfeiler	46,9730915			11,7278338			3509				
Zillertaler	Zillertaler	Hütte	Hochfeiler Hütte	46	57	43,8	11	42	30,5	2710				
Zillertaler	Zillertaler	Berg	Niederes Gipfelkreuz											
Zillertaler	Zillertaler	Scharte	Untere Weißzintscharte											
Zillertaler	Zillertaler	Talort												
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
